name,1_vacancy,1_registered,1_Registered_Vacancy_Percentage,2A_registered,2B_vacancy,2B_registered,2B_Registered_Vacancy_Percentage,2C_vacancy,2C_registered,2C_Registered_Vacancy_Percentage,2CS_vacancy,2CS_registered,2CS_Registered_Vacancy_Percentage
Maha Bodhi School,270,141,52,99,30,42,140,63,82,130,0,0,0
Maris Stella High School (Primary Section),210,70,33,122,26,30,115,55,77,140,0,0,0
Marsiling Primary School,150,52,35,15,48,0,0,143,74,52,69,4,6
Marymount Convent School,180,37,21,9,65,7,11,188,56,30,132,62,47
Mayflower Primary School,120,37,31,23,40,0,0,121,30,25,91,46,51
Mee Toh School,240,108,45,28,55,49,89,116,145,125,0,0,0
Meridian Primary School,150,29,19,26,52,0,0,157,22,14,135,14,10
Methodist Girls' School (Primary),150,64,43,83,21,38,181,43,63,147,0,0,0
Montfort Junior School,90,22,24,7,40,8,20,113,25,22,88,38,43
Nan Chiau Primary School,240,131,55,38,45,123,273,89,264,297,0,0,0
Nan Hua Primary School,180,115,64,65,20,34,170,40,192,480,0,0,0
Nanyang Primary School,330,181,55,149,20,43,215,44,76,173,0,0,0
Naval Base Primary School,180,114,63,66,20,2,10,58,89,153,0,0,0
New Town Primary School,150,37,25,9,55,0,0,164,19,12,145,41,28
Ngee Ann Primary School,180,86,48,34,40,2,5,122,122,100,0,0,0
North Spring Primary School,180,52,29,15,58,0,0,173,38,22,135,49,36
North View Primary School,180,93,52,68,26,0,0,80,95,119,0,0,0
North Vista Primary School,180,57,32,35,49,1,2,148,55,37,94,50,53
Northland Primary School,180,104,58,72,21,22,105,44,200,455,0,0,0
Northoaks Primary School,120,35,29,9,45,0,0,137,20,15,117,3,3
Northshore Primary School,220,52,24,69,53,1,2,159,110,69,49,12,24
Oasis Primary School,180,110,61,68,21,2,10,61,63,103,0,0,0
Opera Estate Primary School,120,60,50,18,34,1,3,101,74,73,34,33,97
Palm View Primary School,180,102,57,8,43,0,0,130,76,58,54,67,124
Park View Primary School,120,64,53,13,34,2,6,101,66,65,35,37,106
Pasir Ris Primary School,120,81,68,32,23,23,100,47,76,162,0,0,0
Paya Lebar Methodist Girls' School (Primary),210,64,30,70,46,35,76,103,120,117,0,0,0
Pei Chun Public School,240,113,47,116,24,29,121,52,81,156,0,0,0
Pei Hwa Presbyterian Primary School,164,102,62,62,20,32,160,40,75,188,0,0,0
Pei Tong Primary School,220,60,27,25,65,0,0,196,29,15,167,84,50
Peiying Primary School,160,70,44,29,40,0,0,121,49,40,73,105,144
Poi Ching School,180,95,53,23,41,45,110,82,197,240,0,0,0
Princess Elizabeth Primary School,140,87,62,53,20,12,60,48,283,590,0,0,0
Punggol Cove Primary School,220,102,46,65,38,1,3,113,82,73,31,34,110
Punggol Green Primary School,180,107,59,73,21,4,19,58,110,190,0,0,0
Punggol Primary School,130,89,68,17,28,0,0,86,106,123,0,0,0
Punggol View Primary School,180,98,54,51,30,1,3,92,51,55,41,51,124
Qifa Primary School,220,95,43,48,46,17,37,124,130,105,0,0,0
Qihua Primary School,120,60,50,25,32,0,0,95,42,44,53,6,11
Queenstown Primary School,150,75,50,28,36,1,3,106,123,116,0,0,0
Radin Mas Primary School,140,69,49,56,25,22,88,54,81,150,0,0,0
Raffles Girls' Primary School,210,59,28,66,48,33,69,113,130,115,0,0,0
Red Swastika School,180,94,52,86,20,22,110,42,89,212,0,0,0
River Valley Primary School,150,83,55,52,25,16,64,60,73,122,0,0,0
Riverside Primary School,150,87,58,63,20,1,5,59,90,153,0,0,0
Rivervale Primary School,140,96,69,20,28,14,50,70,133,190,0,0,0
Rosyth School,210,135,64,75,20,23,115,41,142,346,0,0,0
Rulang Primary School,210,122,58,88,20,26,130,41,112,273,0,0,0
Sembawang Primary School,140,82,59,44,25,1,4,75,67,89,8,27,338
Seng Kang Primary School,150,39,26,9,54,0,0,163,22,13,141,37,26
Sengkang Green Primary School,220,128,58,92,20,15,75,45,87,193,0,0,0
Shuqun Primary School,140,78,56,49,25,15,60,60,97,162,0,0,0
Si Ling Primary School,90,40,44,10,33,0,0,100,22,22,78,1,1
Singapore Chinese Girls' Primary School,132,54,41,75,21,20,95,43,58,135,0,0,0
South View Primary School,210,121,58,89,20,34,170,40,128,320,0,0,0
Springdale Primary School,220,102,46,57,40,0,0,121,68,56,53,68,128
St. Andrew's Junior School,180,55,31,49,45,36,80,103,113,110,0,0,0
St. Anthony's Canossian Primary School,150,26,17,11,58,8,14,165,36,22,129,33,26
St. Anthony's Primary School,180,70,39,44,42,24,57,102,114,112,0,0,0
St. Gabriel's Primary School,90,26,29,13,37,34,92,77,52,68,27,43,159
St. Hilda's Primary School,210,107,51,103,20,36,180,40,136,340,0,0,0
St. Joseph's Institution Junior,180,53,29,56,44,85,193,88,98,111,0,0,0
St. Margaret's School (Primary),132,26,20,28,46,17,37,122,78,64,44,46,105
St. Stephen's School,180,30,17,23,62,28,45,160,58,36,102,66,65
Tampines North Primary School,180,84,47,18,46,0,0,138,47,34,91,127,140
Tampines Primary School,180,77,43,62,34,0,0,102,92,90,10,53,530
Tanjong Katong Primary School,140,71,51,33,32,13,41,87,108,124,0,0,0
Tao Nan School,300,183,61,117,20,68,340,41,95,232,0,0,0
Teck Ghee Primary School,120,76,63,16,29,5,17,84,64,76,20,22,110
Teck Whye Primary School,150,44,29,21,48,2,4,143,19,13,124,26,21
Telok Kurau Primary School,180,71,39,33,46,0,0,138,56,41,82,32,39
Temasek Primary School,140,84,60,56,20,12,60,48,116,242,0,0,0
Townsville Primary School,90,29,32,17,35,1,3,104,27,26,77,13,17
Unity Primary School,90,52,58,10,29,0,0,88,44,50,44,3,7
Valour Primary School,220,113,51,82,28,1,4,84,102,121,0,0,0
Waterway Primary School,220,100,45,61,40,1,2,120,77,64,43,30,70
Wellington Primary School,180,108,60,72,20,6,30,55,108,196,0,0,0
West Grove Primary School,150,77,51,7,42,1,2,126,45,36,81,46,57
West Spring Primary School,180,93,52,69,26,2,8,79,85,108,0,0,0
West View Primary School,90,45,50,23,27,1,4,82,41,50,41,25,61
Westwood Primary School,180,90,50,82,23,10,43,59,82,139,0,0,0
White Sands Primary School,120,78,65,23,26,3,12,78,86,110,0,0,0
Woodgrove Primary School,120,59,49,10,37,8,22,103,99,96,4,8,200
Woodlands Primary School,150,69,46,33,36,8,22,102,87,85,16,10,62
Woodlands Ring Primary School,150,85,57,20,35,0,0,105,53,50,53,6,11
Xinghua Primary School,180,28,16,10,67,0,0,203,34,17,169,42,25
Xingnan Primary School,150,49,33,18,48,0,0,143,43,30,100,11,11
Xinmin Primary School,150,69,46,54,29,26,90,62,100,161,0,0,0
Xishan Primary School,160,73,46,29,39,2,5,116,43,37,73,79,108
Yangzheng Primary School,100,66,66,34,20,14,70,48,77,160,0,0,0
Yew Tee Primary School,120,53,44,6,40,3,8,118,45,38,74,11,15
Yio Chu Kang Primary School,120,46,38,11,41,0,0,123,24,20,99,67,68
Yishun Primary School,160,54,34,24,47,1,2,141,54,38,87,47,54
Yu Neng Primary School,120,69,58,44,22,12,55,56,82,146,0,0,0
Yuhua Primary School,180,57,32,23,53,1,2,160,23,14,137,31,23
Yumin Primary School,160,47,29,12,54,0,0,161,14,9,148,41,28
Zhangde Primary School,120,63,53,22,32,0,0,95,88,93,8,19,238
Zhenghua Primary School,150,78,52,55,26,2,8,76,44,58,32,44,138
Zhonghua Primary School,60,21,35,4,32,0,0,95,11,12,84,20,24
